Gehäuse Lager-100 1 Gehäuse Lager-halb-100 2 zusammenstecken 18.5
Gehäuse Lager-100 2 Schraube M5x40 4 anschrauben 35.6
Gehäuse Antimat-W3 1 Gehäuse Antimat-W3-1 1 - 130
Gehäuse Antimat-W3 2 Spule 1.21GW 3 befestigen 1200
Gehäuse Antimat-W3 3 Gehäuse Antimat-W3-2 2 zusammenstecken 210
Gehäuse Antimat-W3 4 Schraube M60x500 17 anschrauben 170
Antimateriemodul W3 1 Gehäuse Antimat-W3 1 - 10
Antimateriemodul W3 2 Antideuterium - 0.45 einführen 2320
Antimateriemodul W3 3 Antimaterieinjektor I700 1 zusammenstecken 50
Antimateriemodul W3 4 Schraube M5x60 6 anschrauben 55
Dilithiumeinheit D1 1 Rahmen D1 1 - 20
Dilithiumeinheit D1 2 Dilithiumkristall D1 1 zusammenstecken 70
Deuteriumeinheit - 1 Gehäuse Deu 2 zusammenstecken 90
Deuteriumeinheit - 2 Deuterium - 0.45 einführen 210
Warpkern W3 1 Warpmanteleinheit W3 1 - 310
Warpkern W3 2 Antimateriemodul W3 1 zusammenstecken 570
Warpkern W3 3 Schraube M30x100 12 anschrauben 130
Warpkern W3 4 Warpmanteleinheit W3 1 zusammenstecken 80
Warpkern W3 5 Dilithiumeinheit D1 1 zusammenstecken 50
Warpkern W3 6 Deuteriumeinheit - 1 zusammenstecken 210
Warpkern W3 7 Schraube M30x100 15 anschrauben 190
Warpkern W3 8 Warpmanteleinheit W3 2 zusammenstecken 370
Warpkern W3 9 Schraube M50x300 9 anschrauben 230
Warpkern W4 1 Warpmanteleinheit W4 1 - 310
Warpkern W4 2 Antimateriemodul W3 1 zusammenstecken 570
Warpkern W4 3 Schraube M30x100 12 anschrauben 130
Warpkern W4 4 Warpmanteleinheit W4 1 zusammenstecken 80
Warpkern W4 5 Dilithiumeinheit D1 1 zusammenstecken 50
Warpkern W4 6 Deuteriumeinheit - 1 zusammenstecken 210
Warpkern W4 7 Schraube M30x100 15 anschrauben 190
Warpkern W4 8 Warpmanteleinheit W4 1 zusammenstecken 370
Warpkern W4 9 Schraube M50x300 9 anschrauben 240
